"Nuvarande Postnr","Nuv Pnr Framtid","Nuvarande Postort","Nytt Postnr","Postnr Nytt/Bef","Ny Postort","Postort Ny/Bef","Postnr Typ","Antal adresser"
54166,STÄNGS,SKÖVDE,54966,NYTT,SKÖVDE,BEF,STAD,527
54167,STÄNGS,SKÖVDE,54967,NYTT,SKÖVDE,BEF,STAD,206
54170,STÄNGS,SKÖVDE,54970,NYTT,SKÖVDE,BEF,STAD,515
54171,BEHÅLLS,TIMMERSDALA,54195,BEF,TIMMERSDALA,BEF,LAND,8
54176,STÄNGS,VÄRING,54998,NYTT,VÄRING,BEF,LAND,8
54176,STÄNGS,VÄRING,54976,NYTT,VÄRING,BEF,LAND,219
54177,STÄNGS,SKÖVDE,54977,NYTT,SKÖVDE,BEF,LAND,258
54191,STÄNGS,SKÖVDE,54949,NYTT,SKÖVDE,BEF,STAD,1
54191,STÄNGS,SKÖVDE,54965,NYTT,SKÖVDE,BEF,STAD,26
54191,STÄNGS,SKÖVDE,54970,NYTT,SKÖVDE,BEF,STAD,6
54191,STÄNGS,SKÖVDE,54994,NYTT,SKÖVDE,BEF,LAND,646
54191,STÄNGS,SKÖVDE,54998,NYTT,VÄRING,BEF,LAND,41
54192,STÄNGS,SKÖVDE,54194,BEF,SKÖVDE,BEF,LAND,120
54192,STÄNGS,SKÖVDE,54937,NYTT,SKÖVDE,BEF,STAD,5
54192,STÄNGS,SKÖVDE,54966,NYTT,SKÖVDE,BEF,STAD,15
54192,STÄNGS,SKÖVDE,54967,NYTT,SKÖVDE,BEF,STAD,8
54192,STÄNGS,SKÖVDE,54999,NYTT,SKÖVDE,BEF,LAND,446
54193,BEHÅLLS,SKÖVDE,54194,BEF,SKÖVDE,BEF,LAND,205
54193,BEHÅLLS,SKÖVDE,54134,BEF,SKÖVDE,BEF,STAD,1
54195,BEHÅLLS,TIMMERSDALA,54197,BEF,LERDALA,BEF,LAND,5
54196,STÄNGS,VÄRING,54996,NYTT,VÄRING,BEF,LAND,329
54196,STÄNGS,VÄRING,54994,NYTT,SKÖVDE,BEF,LAND,3
54196,STÄNGS,VÄRING,54998,NYTT,VÄRING,BEF,LAND,355
54293,BEHÅLLS,MARIESTAD,54594,NYTT,MOHOLM,BEF,LAND,6
54941,STÄNGS,MOHOLM,54541,NYTT,MOHOLM,BEF,STAD,310
54992,STÄNGS,MOHOLM,54541,NYTT,MOHOLM,BEF,STAD,48
54992,STÄNGS,MOHOLM,54594,NYTT,MOHOLM,BEF,LAND,218
54992,STÄNGS,MOHOLM,54595,NYTT,MOHOLM,BEF,LAND,52
54992,STÄNGS,MOHOLM,54593,BEF,TÖREBODA,BEF,LAND,4
54993,STÄNGS,MOHOLM,54595,NYTT,MOHOLM,BEF,LAND,514
57191,STÄNGS,NÄSSJÖ,57193,BEF,NÄSSJÖ,BEF,LAND,72
60379,BEHÅLLS,NORRKÖPING,60383,NYTT,NORRKÖPING,BEF,STAD,123
74045,BEHÅLLS,TÄRNSJÖ,74048,NYTT,ÖSTERVÅLA,BEF,LAND,1
74045,BEHÅLLS,TÄRNSJÖ,74044,NYTT,TÄRNSJÖ,BEF,LAND,955
74046,BEHÅLLS,ÖSTERVÅLA,74048,NYTT,ÖSTERVÅLA,BEF,LAND,1020
75257,BEHÅLLS,UPPSALA,75255,BEF,UPPSALA,BEF,STAD,6
75594,BEHÅLLS,UPPSALA,74178,NYTT,UPPSALA,BEF,LAND,33
75594,BEHÅLLS,UPPSALA,75593,BEF,UPPSALA,BEF,LAND,43
75594,BEHÅLLS,UPPSALA,74345,BEF,STORVRETA,BEF,STAD,44
75594,BEHÅLLS,UPPSALA,75472,BEF,UPPSALA,BEF,STAD,12
75594,BEHÅLLS,UPPSALA,75473,NYTT,UPPSALA,BEF,LAND,364
75594,BEHÅLLS,UPPSALA,75474,NYTT,UPPSALA,BEF,STAD,427
75595,STÄNGS,UPPSALA,74395,NYTT,UPPSALA,BEF,LAND,320
75596,STÄNGS,UPPSALA,74178,NYTT,UPPSALA,BEF,LAND,1033
75597,STÄNGS,UPPSALA,74152,NYTT,UPPSALA,BEF,STAD,317
75597,STÄNGS,UPPSALA,74151,NYTT,UPPSALA,BEF,STAD,368
75597,STÄNGS,UPPSALA,74177,NYTT,UPPSALA,BEF,LAND,875
75598,STÄNGS,UPPSALA,75473,NYTT,UPPSALA,BEF,LAND,8
75598,STÄNGS,UPPSALA,75454,BEF,UPPSALA,BEF,STAD,298
75598,STÄNGS,UPPSALA,74176,NYTT,UPPSALA,BEF,LAND,684
84231,BEHÅLLS,SVEG,84235,NYTT,SVEG,BEF,STAD,268
84232,BEHÅLLS,SVEG,84231,BEF,SVEG,BEF,STAD,5
84232,BEHÅLLS,SVEG,84290,NYTT,SVEG,BEF,LAND,1
84232,BEHÅLLS,SVEG,84234,NYTT,SVEG,BEF,STAD,193
84291,BEHÅLLS,SVEG,84290,NYTT,SVEG,BEF,LAND,36
84292,BEHÅLLS,SVEG,84290,NYTT,SVEG,BEF,LAND,6
84292,BEHÅLLS,SVEG,84293,BEF,SVEG,BEF,LAND,235
84293,BEHÅLLS,SVEG,84292,BEF,SVEG,BEF,LAND,82
84293,BEHÅLLS,SVEG,84294,BEF,SVEG,BEF,LAND,26
84294,BEHÅLLS,SVEG,84231,BEF,SVEG,BEF,STAD,9
84294,BEHÅLLS,SVEG,84290,NYTT,SVEG,BEF,LAND,250
89131,BEHÅLLS,ÖRNSKÖLDSVIK,89139,BEF,ÖRNSKÖLDSVIK,BEF,STAD,23
89132,BEHÅLLS,ÖRNSKÖLDSVIK,89134,BEF,ÖRNSKÖLDSVIK,BEF,STAD,14
89132,BEHÅLLS,ÖRNSKÖLDSVIK,89130,BEF,ÖRNSKÖLDSVIK,BEF,STAD,114
89133,BEHÅLLS,ÖRNSKÖLDSVIK,89139,BEF,ÖRNSKÖLDSVIK,BEF,STAD,5
89133,BEHÅLLS,ÖRNSKÖLDSVIK,89163,NYTT,ÖRNSKÖLDSVIK,BEF,STAD,147
89133,BEHÅLLS,ÖRNSKÖLDSVIK,89164,NYTT,ÖRNSKÖLDSVIK,BEF,STAD,79
89134,BEHÅLLS,ÖRNSKÖLDSVIK,89135,BEF,ÖRNSKÖLDSVIK,BEF,STAD,32
89134,BEHÅLLS,ÖRNSKÖLDSVIK,89145,NYTT,ÖRNSKÖLDSVIK,BEF,STAD,151
89135,BEHÅLLS,ÖRNSKÖLDSVIK,89134,BEF,ÖRNSKÖLDSVIK,BEF,STAD,31
89135,BEHÅLLS,ÖRNSKÖLDSVIK,89137,BEF,ÖRNSKÖLDSVIK,BEF,STAD,49
89136,BEHÅLLS,ÖRNSKÖLDSVIK,89137,BEF,ÖRNSKÖLDSVIK,BEF,STAD,15
89136,BEHÅLLS,ÖRNSKÖLDSVIK,89138,BEF,ÖRNSKÖLDSVIK,BEF,STAD,1
89137,BEHÅLLS,ÖRNSKÖLDSVIK,89162,BEF,ÖRNSKÖLDSVIK,BEF,STAD,46
89137,BEHÅLLS,ÖRNSKÖLDSVIK,89136,BEF,ÖRNSKÖLDSVIK,BEF,STAD,34
89137,BEHÅLLS,ÖRNSKÖLDSVIK,89138,BEF,ÖRNSKÖLDSVIK,BEF,STAD,109
89138,BEHÅLLS,ÖRNSKÖLDSVIK,89150,BEF,ÖRNSKÖLDSVIK,BEF,STAD,43
89141,BEHÅLLS,ÖRNSKÖLDSVIK,89143,BEF,ÖRNSKÖLDSVIK,BEF,STAD,7
89141,BEHÅLLS,ÖRNSKÖLDSVIK,89150,BEF,ÖRNSKÖLDSVIK,BEF,STAD,3
89141,BEHÅLLS,ÖRNSKÖLDSVIK,89144,NYTT,ÖRNSKÖLDSVIK,BEF,STAD,240
89142,BEHÅLLS,ÖRNSKÖLDSVIK,89143,BEF,ÖRNSKÖLDSVIK,BEF,STAD,10
89143,BEHÅLLS,ÖRNSKÖLDSVIK,89142,BEF,ÖRNSKÖLDSVIK,BEF,STAD,12
89143,BEHÅLLS,ÖRNSKÖLDSVIK,89141,BEF,ÖRNSKÖLDSVIK,BEF,STAD,7
89150,BEHÅLLS,ÖRNSKÖLDSVIK,89151,BEF,ÖRNSKÖLDSVIK,BEF,STAD,13
89151,BEHÅLLS,ÖRNSKÖLDSVIK,89150,BEF,ÖRNSKÖLDSVIK,BEF,STAD,119
89161,BEHÅLLS,ÖRNSKÖLDSVIK,89165,NYTT,ÖRNSKÖLDSVIK,BEF,STAD,32
90655,BEHÅLLS,UMEÅ,90657,BEF,UMEÅ,BEF,STAD,3
92231,BEHÅLLS,VINDELN,92232,BEF,VINDELN,BEF,STAD,2
92232,BEHÅLLS,VINDELN,92231,BEF,VINDELN,BEF,STAD,2
92232,BEHÅLLS,VINDELN,92290,NYTT,VINDELN,BEF,LAND,9
92232,BEHÅLLS,VINDELN,92291,BEF,VINDELN,BEF,LAND,48
92261,STÄNGS,TAVELSJÖ,92263,BEF,TAVELSJÖ,BEF,LAND,26
92262,STÄNGS,TAVELSJÖ,92263,BEF,TAVELSJÖ,BEF,LAND,83
92262,STÄNGS,TAVELSJÖ,92266,BEF,TAVELSJÖ,BEF,LAND,1
92266,BEHÅLLS,TAVELSJÖ,92263,BEF,TAVELSJÖ,BEF,LAND,17
92267,BEHÅLLS,TAVELSJÖ,92265,NYTT,TAVELSJÖ,BEF,LAND,157
92277,STÄNGS,BOTSMARK,92276,BEF,BOTSMARK,BEF,LAND,62
92278,STÄNGS,BOTSMARK,92276,BEF,BOTSMARK,BEF,LAND,133
92291,BEHÅLLS,VINDELN,92232,BEF,VINDELN,BEF,STAD,8
92292,BEHÅLLS,VINDELN,92290,NYTT,VINDELN,BEF,LAND,261
92295,BEHÅLLS,GRANÖ,92293,BEF,VINDELN,BEF,LAND,5
96193,BEHÅLLS,BODEN,95442,BEF,SÖDRA SUNDERBYN,BEF,STAD,77
